,k,scores
0,2,0.07204257743653654
1,3,0.08312744195655235
2,4,0.1078259150456558
3,5,-0.14854468923961378
4,6,-0.125059496151234
5,7,-0.1072585725916732
6,8,-0.09308684979175641
7,9,-0.07302796556246682
8,10,-0.07829229664310278
9,11,-0.059984658102148265
10,12,-0.05140585836154779
11,13,-0.04931450491224792
12,14,-0.037112883394292924
13,15,-0.03727368284855113
14,16,-0.03738035679800775
15,17,-0.039287569966360084
16,18,-0.03317425810101122
17,19,-0.02707226350526176
18,20,-0.02445320693604595
19,21,-0.024872117724368478
20,22,-0.024909864021149527
21,23,-0.024912093470386146
22,24,-0.02501730154453162
23,25,-0.024239412255352897
24,26,-0.018742812540671762
25,27,-0.013931900572067998
26,28,-0.012033999575914557
27,29,-0.011761710050924601
28,30,-0.016765962194259573
29,31,-0.01682725896923566
30,32,-0.01683431948776767
31,33,-0.022195807959295332
32,34,-0.02262024864248351
33,35,-0.023284287619742723
34,36,-0.020806281533058035
35,37,-0.018747854056786424
36,38,-0.02056532890569247
37,39,-0.02064750018532408
